Destination,Service,1box(2.5kg),2box(4.5kg),3box(6.5kg),6box(15kg)
Austria,DDP Courier,10.41,10.41,11.64,12.63
Belgium,DDP Courier,8.23,8.84,10.24,12.94
Bulgaria,DDP Courier,13.38,13.38,18.05,24.84
Croatia,DDP Courier,12.29,12.29,16.48,23.66
Cyprus,DDP Courier,29.42,37.99,47.16,84.05
Czechia,DDP Courier,8.75,8.75,12.79,19.77
Denmark,DDP Shop,9.23,9.32,11.58,13.99
Estonia,DDP Courier,13.47,13.47,20.23,22.62
Finland,DDP Shop,12.55,12.55,14.54,16.12
France,DDP Courier,9.14,10.15,12.00,14.59
Germany,DDP Courier,7.81,8.40,10.70,14.63
Greece,DDP Courier,31.71,39.74,48.38,82.99
Hungary,DDP Courier,10.35,10.35,13.47,20.20
Ireland,DDP Courier,7.11,7.11,8.03,9.46
Italy,DDP Courier,9.76,9.76,13.42,17.99
Latvia,DDP Courier,13.47,13.47,20.23,22.62
Lithuania,DDP Courier,13.47,13.47,20.23,22.62
Luxembourg,DDP Courier,9.35,9.97,11.44,14.24
Malta,DDP Courier,29.22,37.78,46.95,83.84
Netherlands,DDP Courier,8.36,8.36,9.02,9.54
Poland,DDP Courier,—,—,—,—
Portugal,DDP Courier,9.26,14.20,16.00,27.69
Portugal - Portuguese Islands,DDP Courier,—,—,—,—
Romania,DDP Courier,10.88,10.88,14.82,21.90
Slovakia,DDP Courier,9.66,9.66,12.81,19.77
Slovenia,DDP Courier,13.27,13.27,16.68,23.66
Spain,DDP Courier,8.54,10.84,12.70,19.91
Spain - Balearic Islands,DDP Courier,10.11,14.11,15.97,28.45
Spain - Canary Islands,DDP Courier,22.69,46.92,48.79,98.63
Sweden,DDP Shop,9.42,10.75,13.99,22.66
Afghanistan,DDU Courier,33.63,34.13,35.28,37.87
Aland Islands,DDU Courier,45.34,52.68,60.74,92.54
Albania,DDU Courier,34.07,42.55,51.40,87.74
Algeria,DDU Courier,34.65,41.89,49.53,80.64
Andorra,DDU Courier,34.59,39.29,44.70,65.24
Angola,DDU Courier,27.71,37.95,48.56,92.38
Anguilla,DDU Courier,125.18,208.93,293.33,649.80
Antigua and Barbuda,DDU Courier,48.77,71.72,95.33,193.37
Argentina,DDU Courier,39.32,56.12,73.30,145.03
Armenia,DDU Courier,42.79,57.37,72.36,134.66
Aruba,DDU Courier,44.50,54.49,64.89,107.71
Australia,Commercial,24.80,39.62,55.55,115.55
Australia,Postal,54.19,70.88,87.91,159.11
Azerbaijan,DDU Courier,40.25,50.47,61.10,104.92
Bahamas,DDU Courier,56.22,77.05,98.50,187.52
Bahrain,DDP Courier,20.08,27.57,37.98,80.35
Bahrain,DDU Courier,20.08,27.57,37.98,80.35
Bangladesh,DDU Courier,30.04,37.69,45.76,78.66
Barbados,DDU Courier,38.80,51.41,64.43,118.38
Belarus,DDU Courier,46.34,61.79,77.90,144.11
Belize,DDU Courier,53.22,72.84,93.08,176.96
Benin,DDU Courier,44.53,56.04,67.98,117.26
Bermuda,DDU Courier,45.46,63.37,81.93,158.59
Bhutan,DDU Courier,31.57,32.01,33.05,35.35
Bolivia,DDU Courier,58.71,84.60,111.11,221.63
"Bonaire, Sint Eustatius and Saba",DDU Courier,50.86,67.46,84.78,155.90
Bosnia and Herzegovina,DDU Courier,31.69,39.75,48.19,82.75
Botswana,DDU Courier,40.53,51.00,61.86,106.66
Brazil,DDU Courier,42.49,51.89,61.68,101.93
Brunei Darussalam,DDU Courier,47.91,70.04,92.84,187.44
Burkina Faso,DDU Courier,45.55,61.58,78.27,146.91
Burundi,DDU Courier,48.23,58.31,68.79,111.92
Cabo Verde,DDU Courier,69.43,102.56,136.36,277.70
Cambodia,DDU Courier,47.64,66.48,86.05,166.72
Cameroon,DDU Courier,38.02,48.50,59.36,104.16
Canada,DDU Courier,35.80,51.43,67.07,133.55
Cayman Islands,DDU Courier,52.04,70.64,89.88,169.47
Central African Republic,DDU Courier,55.43,76.94,99.16,191.19
Chad,DDU Courier,43.83,56.94,70.43,126.45
Chile,DDU Courier,59.89,83.73,107.99,209.69
China,DDU Courier,23.26,33.87,44.86,90.23
Colombia,DDU Courier,34.46,46.25,58.43,108.83
Comoros,DDU Courier,25.60,26.10,27.24,29.84
Congo,DDU Courier,27.39,36.92,46.85,87.63
Congo (Democratic Republic of the),DDU Courier,40.02,50.35,61.07,105.31
Cook Islands,DDU Courier,75.15,113.13,151.78,313.72
Costa Rica,DDU Courier,36.55,45.67,55.19,94.26
Curacao,DDU Courier,57.15,79.90,103.07,200.12
Djibouti,DDU Courier,41.55,51.32,61.54,103.45
Dominica,DDU Courier,126.21,205.57,285.58,623.40
Dominican Republic,DDU Courier,51.10,74.40,98.08,197.40
Ecuador,DDU Courier,53.16,73.73,94.98,182.98
Egypt,DDU Courier,30.13,35.57,41.43,64.91
El Salvador,DDU Courier,58.42,80.09,102.19,194.65
Equatorial Guinea,DDU Courier,31.29,44.40,57.89,113.91
Eritrea,DDU Courier,43.46,54.12,65.21,110.87
Ethiopia,DDU Courier,40.77,49.41,58.46,95.51
Falkland Islands (Malvinas),DDU Courier,25.69,29.68,34.38,51.88
Faroe Islands,DDU Courier,38.41,44.64,51.61,78.67
Fiji,DDU Courier,57.43,85.65,114.49,234.89
French Guiana,DDU Courier,72.43,104.53,137.34,274.28
French Polynesia,DDU Courier,60.01,86.18,112.99,224.70
Gabon,DDU Courier,37.20,47.28,57.76,100.89
Gambia,DDU Courier,43.14,55.71,68.66,122.37
Georgia,DDU Courier,35.98,42.80,50.01,79.33
Ghana,DDU Courier,41.19,47.85,54.88,83.45
Gibraltar,DDU Courier,38.40,45.01,52.04,80.48
Greenland,DDU Courier,38.41,44.64,51.61,78.67
Grenada,DDU Courier,42.62,61.30,80.58,160.45
Guadeloupe,DDU Courier,50.44,64.94,80.17,142.34
Guam,DDU Courier,67.85,94.68,122.19,236.78
Guatemala,DDU Courier,28.39,38.04,48.10,89.41
Guinea,DDU Courier,44.04,57.49,71.34,128.85
Guinea-Bissau,DDU Courier,51.09,70.43,90.48,173.29
Guyana,DDU Courier,64.25,82.75,101.99,181.23
Haiti,DDU Courier,47.05,68.91,91.41,184.77
Honduras,DDU Courier,51.68,71.96,92.86,179.52
"Hong Kong SAR, China",DDU Courier,45.91,53.19,60.83,92.06
Iceland,DDU Courier,39.95,45.19,50.80,73.36
India,DDU Courier,21.47,26.98,32.90,56.68
Indonesia,DDU Courier,31.92,38.22,44.91,72.00
Iraq,DDU Courier,25.93,31.69,37.87,62.69
Israel,DDP Shop,14.70,21.62,28.84,58.45
Israel,DDU Shop,14.70,21.62,28.84,58.45
Ivory Coast,DDU Courier,36.32,49.43,62.92,118.94
Jamaica,DDU Courier,53.55,73.36,93.80,178.50
Japan,DDU Courier,25.53,31.47,37.75,63.27
Jordan,DDU Courier,32.77,38.34,44.28,68.24
Kazakhstan,DDU Courier,57.22,73.69,90.80,161.27
Kenya,DDU Courier,35.57,41.50,47.83,73.36
Kiribati,DDU Courier,61.00,90.80,121.25,248.41
Kosovo,DDU Courier,30.13,42.07,54.41,105.47
Kuwait,DDP Courier,17.84,24.66,35.98,81.76
Kuwait,DDU Courier,17.84,24.66,35.98,81.76
Kyrgyzstan,DDU Courier,48.82,65.33,82.26,152.78
Lao People's Democratic Republic,DDU Courier,47.20,69.70,92.86,188.98
Lebanon,DDU Courier,31.20,39.47,48.16,83.66
Lesotho,DDU Courier,48.73,65.63,83.17,155.50
Liberia,DDU Courier,42.56,57.46,73.06,136.94
Liechtenstein,DDU Courier,25.90,29.72,34.22,51.00
"Macau SAR, China",DDU Courier,55.76,71.76,88.38,156.85
Madagascar,DDU Courier,51.43,64.88,78.73,136.24
Malawi,DDU Courier,51.22,75.06,99.32,200.94
Malaysia,DDU Courier,27.99,35.90,44.14,78.02
Maldives,DDU Courier,28.98,34.22,39.84,62.40
Mali,DDU Courier,30.14,42.76,55.74,109.65
Marshall Islands,DDU Courier,72.37,100.96,130.27,252.34
Martinique,DDU Courier,60.01,82.15,105.02,199.71
Mauritania,DDU Courier,60.46,86.29,112.53,222.64
Mauritius,DDU Courier,30.29,36.57,43.25,70.25
Mayotte,DDU Courier,34.05,38.04,42.67,60.12
Mexico,DDU Courier,47.05,58.24,69.79,117.61
Moldova,DDU Courier,37.22,44.46,52.10,83.21
Monaco,DDU Courier,23.63,25.01,27.04,33.40
Mongolia,DDU Courier,56.74,79.63,103.19,200.97
Montenegro,DDU Courier,36.93,48.52,60.51,110.08
Montserrat,DDU Courier,45.44,68.39,91.99,190.04
Morocco,DDU Courier,47.95,64.40,81.27,151.51
Mozambique,DDU Courier,36.38,45.53,55.07,94.27
Myanmar,DDU Courier,44.62,63.57,83.14,164.14
Namibia,DDU Courier,41.87,57.64,74.03,141.52
Nauru,DDU Courier,61.24,92.74,124.94,259.34
Nepal,DDU Courier,40.19,58.40,76.99,154.69
New Caledonia,DDU Courier,83.78,130.92,178.71,379.60
New Zealand,Commercial,37.92,64.10,90.63,202.39
New Zealand,Postal,45.85,72.46,99.42,212.84
Nicaragua,DDU Courier,48.17,68.30,89.09,175.17
Niger,DDU Courier,53.22,78.64,104.50,212.93
Nigeria,DDU Courier,50.86,69.48,88.72,168.29
North Macedonia,DDU Courier,29.47,39.61,50.13,93.51
Northern Mariana Islands,DDU Courier,63.43,81.64,100.57,178.56
Norway,DDU Courier,23.39,29.44,35.84,61.83
Oman,DDP Courier,15.85,21.08,28.86,60.03
Oman,DDU Courier,15.85,21.08,28.86,60.03
Pakistan,DDU Courier,29.19,33.38,37.98,56.12
Palau,DDU Courier,72.37,100.96,130.27,252.34
Palestine,DDU Courier,38.50,55.28,72.75,144.58
Panama,DDU Courier,39.41,48.40,57.80,96.35
Papua New Guinea,DDU Courier,46.79,59.30,72.45,126.15
Paraguay,DDU Courier,53.38,75.45,98.14,192.43
Peru,DDU Courier,38.40,47.16,56.31,93.87
Philippines,DDU Courier,29.92,36.11,42.70,69.36
Pitcairn,DDU Courier,84.65,130.27,176.59,371.03
Puerto Rico,DDU Courier,67.72,94.45,121.85,235.99
Qatar,DDP Courier,19.45,25.39,34.04,68.96
Qatar,DDU Courier,19.45,25.39,34.04,68.96
Reunion,DDU Courier,48.17,66.87,85.96,165.72
Rwanda,DDU Courier,38.86,48.65,58.85,100.78
Saint Kitts and Nevis,DDU Courier,43.79,62.63,82.12,162.72
Saint Lucia,DDU Courier,52.19,72.81,94.05,182.16
Saint Pierre and Miquelon,DDU Courier,51.59,67.01,83.15,149.23
Saint Vincent and the Grenadines,DDU Courier,123.95,201.51,279.70,609.86
Samoa,DDU Courier,67.43,98.07,129.40,260.18
San Marino,DDU Courier,32.05,38.29,45.22,72.31
Saudi Arabia,DDP Courier,15.27,22.21,28.78,60.31
Saudi Arabia,DDU Courier,15.27,22.21,28.78,60.31
Senegal,DDU Courier,35.53,45.99,56.85,101.66
Serbia,DDU Courier,28.38,33.35,38.71,60.16
Seychelles,DDU Courier,28.45,38.83,49.59,93.99
Sierra Leone,DDU Courier,49.71,64.42,79.79,142.84
Singapore,DDU Courier,26.27,33.84,41.80,74.30
Solomon Islands,DDU Courier,63.73,97.08,131.15,273.46
Somalia,DDU Courier,18.63,20.63,23.35,32.45
South Africa,DDU Courier,41.67,59.03,76.75,150.79
South Korea,DDU Courier,18.03,22.89,28.11,49.03
South Sudan,DDU Courier,34.29,48.73,63.86,125.73
Sri Lanka,DDU Courier,31.26,39.70,48.53,84.69
Sudan,DDU Courier,58.51,74.93,92.08,162.48
Suriname,DDU Courier,45.02,59.12,73.85,134.22
Swaziland,DDU Courier,46.49,64.54,83.29,160.56
Switzerland,DDP Courier,41.68,53.94,66.51,118.88
Switzerland,DDU Courier,20.71,22.99,25.62,35.60
"Taiwan, China",DDU Courier,34.04,43.32,52.97,92.72
Tajikistan,DDU Courier,63.58,99.53,136.15,289.45
Tanzania,DDU Courier,41.44,48.98,56.95,89.36
Thailand,DDU Courier,26.53,31.22,36.28,56.49
Timor-Leste,DDU Courier,22.77,27.48,32.92,53.55
Togo,DDU Courier,40.53,51.00,61.86,106.66
Tonga,DDU Courier,62.33,91.77,121.88,247.56
Trinidad and Tobago,DDU Courier,47.77,68.25,89.36,176.90
Tunisia,DDU Courier,32.51,39.31,46.47,75.64
Turkey,DDU Courier,23.62,28.92,34.57,57.39
Turkmenistan,DDU Courier,83.63,125.09,167.19,343.89
Turks and Caicos Islands,DDU Courier,44.10,67.28,91.14,190.20
Tuvalu,DDU Courier,59.88,93.63,128.10,272.15
Uganda,DDU Courier,49.04,62.83,77.26,136.36
Ukraine,DDU Courier,28.77,30.84,33.59,42.93
United Arab Emirates,DDP Courier,13.30,16.88,20.83,36.23
United Arab Emirates,DDU Courier,12.45,16.03,19.99,35.40
United States - Mainland,Commercial,18.80,25.71,32.07,120.25
United States - Mainland,Commercial Large Dims,30.08,44.59,61.89,120.59
United States - Rest Of,Commercial,53.80,74.30,97.80,215.88
Uruguay,DDU Courier,46.59,65.40,84.59,164.83
Uzbekistan,DDU Courier,49.11,64.73,80.73,147.40
Vanuatu,DDU Courier,97.59,157.91,218.88,475.80
Viet Nam,DDU Courier,23.71,30.42,37.56,66.46
Virgin Islands (British),DDU Courier,80.12,130.28,181.19,395.01
Virgin Islands (U.S.),DDU Courier,67.72,94.45,121.85,235.99
Wallis and Futuna,DDU Courier,63.13,95.65,128.86,267.62
Yemen,DDU Courier,24.80,30.01,35.92,58.61
Zambia,DDU Courier,33.87,43.02,52.56,91.77
Zimbabwe,DDU Courier,34.32,43.59,53.25,92.98
Austria,DDU Courier,19.88,22.32,25.33,36.13
Belgium,DDU Courier,14.48,17.93,21.71,36.59
Bulgaria,DDU Courier,17.27,21.56,26.18,44.68
Croatia,DDU Courier,15.99,19.41,23.15,37.92
Cyprus,DDU Courier,29.42,37.99,47.16,84.05
Czechia,DDU Courier,14.60,18.63,23.03,40.47
Denmark,DDU Courier,22.32,26.60,31.25,49.74
Estonia,DDU Courier,18.66,22.84,27.38,45.41
Finland,DDU Courier,22.35,26.14,30.29,46.70
France,DDU Courier,19.51,21.38,23.59,31.78
Germany,DDU Courier,13.81,15.65,17.82,25.86
Greece,DDU Courier,31.71,39.74,48.38,82.99
Hungary,DDU Courier,19.93,24.32,29.07,48.01
Ireland,DDU Courier,9.94,9.94,12.60,14.73
Italy,DDU Courier,28.19,33.57,39.56,62.92
Latvia,DDU Courier,18.71,23.21,28.05,47.44
Lithuania,DDU Courier,14.29,18.08,22.23,38.64
Luxembourg,DDU Courier,11.57,13.96,16.71,27.14
Malta,DDU Courier,29.22,37.78,46.95,83.84
Netherlands,DDU Courier,10.57,10.57,11.17,11.64
Poland,DDU Courier,19.17,22.96,27.11,43.52
Portugal,DDU Courier,16.75,20.83,25.24,42.85
Romania,DDU Courier,19.84,24.17,28.84,47.49
Slovakia,DDU Courier,23.09,25.72,28.93,40.52
Slovenia,DDU Courier,18.35,23.20,28.39,49.28
Spain,DDU Courier,22.17,25.69,29.54,44.76
Spain - Balearic Islands,DDU Courier,27.10,30.62,34.49,49.68
Spain - Canary Islands,DDU Courier,41.80,46.92,49.17,98.63
Sweden,DDU Courier,19.57,23.86,28.48,46.98
What You Can & Can't Send by Courier | Evri,,—,—,—,—
"*Please note, these rates are not necessarily valid for 12 months. However, we will communicate to you before amending any prices based on carrier increases.",,—,—,—,—
*Please ensure that the Terms and Conditions and Surcharges are read and understood on the Evri website.,,—,—,—,—
"*Other surcharges imposed by Evri may apply, for example a Clean Air Surcharge. These will be passed on at cost and are subject to change.",,—,—,—,—
